	SAMPLE	CELL	N	SUM	MEAN	MED	N50	MIN	MAX	SD	N_10K	SUM_10K	N_100K	SUM_100K	N_1M	SUM_1M	QV_MEAN	QV_MED	QV_MAX
165	GM21487	GM21487_20211109_UL_eee-prom1-1A-PAI18572_guppy-5.0.11-sup-prom_fastq_pass	1494813	10885975225	7282.49970063145	508	61043	16	906166	23337.471250759	201899	9581806833	21571	3300930614	0	0	13.5244088647985	13.2582991035194	55.9002742129364
166	GM21487	GM21487_20211019_UL_eee-prom1-3D-PAI04403_guppy-5.0.11-sup-prom_fastq_pass	151	701634	4646.58278145695	1681	12867	23	123725	11610.0861234022	15	397835	1	123725	0	0	22.4376610465153	17.9581076266403	55.6632844662165
167	GM21487	GM21487_20211110_UL_eee-prom1-1E-PAI04403_guppy-5.0.11-sup-prom_fastq_pass	583114	8700029411	14919.9460328512	965	70465	28	1530402	33233.9913970408	157710	8094679654	19696	2979459150	2	2663616	13.079554191149	12.8239569768197	54.8634649136448
168	GM21487	GM21487_20220118_UL_eee-prom1-2D-PAH36599_guppy-5.0.11-sup-prom_fastq_pass	1204	66108782	54907.6262458472	27267.5	122093	332	734864	70795.5197832596	802	64890731	240	40687422	0	0	11.3819206220771	11.1104726952672	37.2113532748753
169	HG04036	HG04036_20211006_UL_eee-prom1-3F-PAI05203_guppy-5.0.11-sup-prom_fastq_pass	568116	25019008561	44038.5564937442	15059	121196	14	2425095	75744.8184324382	316910	24273440751	75561	14528427779	141	173079500	13.7091876091535	13.5926847927563	60
170	HG04036	HG04036_20211221_UL_eee-prom1-1E-PAJ02986_guppy-5.0.11-sup-prom_fastq_pass	493890	27055982296	54781.3932171131	30908	112499	75	1098609	65800.703577071	358842	26536592963	88352	15027851071	1	1098609	14.3077678304377	14.347253878205	48.5833773232952
171	HG04036	HG04036_20211220_UL_eee-prom1-1F-PAJ02848_guppy-5.0.11-sup-prom_fastq_pass	1055981	58422391443	55325.2297560278	27699	123263	23	1031204	70845.3899446745	724327	57213842399	196987	34852943207	3	3061121	15.4986240102265	15.7241308647513	54.774655974987
172	HG04036	HG04036_20210922_UL_eee-prom1-2B-PAH80217_guppy-5.0.11-sup-prom_fastq_pass	5710	7669416	1343.15516637478	394.5	8768	16	681141	11862.1916605379	84	3770904	6	1721078	0	0	14.0965369444918	13.1355178136707	60
173	HG04036	HG04036_20211207_UL_eee-prom1-1B-PAI76381_guppy-5.0.11-sup-prom_fastq_pass	540416	31823298125	58886.6690197922	17211.5	163419	40	1307532	87610.5436008409	301828	31268809878	116106	22888319212	2	2371666	14.5147145745829	14.5480691441983	57.9541361504082
174	HG04036	HG04036_20211008_UL_eee-prom1-3F-PAI05203_guppy-5.0.11-sup-prom_fastq_pass	52520	2516985248	47924.31926885	23819	106278	18	1686213	66311.6688811234	34380	2458370607	7707	1330144103	4	5210590	12.5471655383609	12.2375112432101	58.4790064735006
